country,cases,deaths,recovered
Afghanistan,234174,7996,211080
Albania,334863,3605,330233
Algeria,272010,6881,183061
Andorra,48015,165,0
Angola,107327,1937,103419
Anguilla,3904,12,0
Antigua and Barbuda,9106,146,8954
Argentina,10128845,130841,9997258
Armenia,451831,8777,435162
Aruba,44224,292,42438
Australia,11853144,24414,11820014
Austria,6081287,22542,6054934
Azerbaijan,835234,10400,824089
Bahamas,38084,844,36366
Bahrain,729549,1574,727915
Bangladesh,2049377,29493,0
Barbados,110578,648,108647
Belarus,994037,7118,985592
Belgium,4861695,34376,4826798
Belize,71409,688,0
Benin,28036,163,27847
Bermuda,18860,165,18685
Bhutan,62697,21,61564
Bolivia,1212131,22407,1177145
Bosnia,403615,16388,379084
Botswana,330638,2801,327049
Brazil,38743918,711380,36249161
British Virgin Islands,7392,64,0
Brunei,343719,225,243601
Bulgaria,1339851,38748,1292944
Burkina Faso,22114,400,21596
Burundi,54721,38,53569
Cabo Verde,64477,417,63755
Cambodia,139103,3056,136044
Cameroon,125379,1974,123280
Canada,4946090,59034,4881312
Caribbean Netherlands,11682,38,10476
Cayman Islands,31472,37,8553
Central African Republic,15440,113,15200
Chad,7701,194,4874
Channel Islands,101717,228,101321
Chile,5384853,64497,5252450
China,503302,5272,379053
Colombia,6400173,143200,6212152
Comoros,9109,161,8939
Congo,25375,386,24006
Cook Islands,7203,2,7150
Costa Rica,1238883,9428,0
Croatia,1309728,18687,1258432
Cuba,1115251,8530,1106660
Curaçao,45986,295,44720
Cyprus,681110,1365,679745
Czechia,4759041,43517,4715206
Côte d'Ivoire,88384,835,87497
DRC,99338,1468,84489
Denmark,3183756,8814,3174942
Diamond Princess,712,13,699
Djibouti,15690,189,15427
Dominica,16038,74,15964
Dominican Republic,675890,4384,671316
Ecuador,1070188,36043,1034145
Egypt,516023,24613,442182
El Salvador,201855,4230,179410
Equatorial Guinea,17229,183,16907
Eritrea,10189,103,10086
Estonia,628070,3001,0
Ethiopia,501157,7574,488171
Falkland Islands (Malvinas),1930,0,1930
Faroe Islands,34658,28,0
Fiji,69117,885,67226
Finland,1516117,11958,1503989
France,40138560,167642,39970918
French Guiana,98041,420,11254
French Polynesia,79254,650,0
Gabon,49051,307,48674
Gambia,12626,372,12189
Georgia,1861665,17132,0
Germany,38828995,183027,38240600
Ghana,171889,1462,170425
Gibraltar,20550,113,0
Greece,6101379,37869,0
Greenland,11971,21,2761
Grenada,19693,238,19358
Guadeloupe,203235,1021,0
Guatemala,1291293,20289,1269891
Guinea,38572,468,37757
Guinea-Bissau,9614,177,8929
Guyana,74137,1300,72013
Haiti,34667,860,33734
Holy See (Vatican City State),29,0,29
Honduras,474590,11165,0
Hong Kong,2937609,14924,2916005
Hungary,2230232,49048,2152155
Iceland,209906,229,0
India,45035393,533570,0
Indonesia,6829221,162063,6647104
Iran,7627186,146811,0
Iraq,2465545,25375,2439497
Ireland,1734582,9491,1724921
Isle of Man,38008,116,0
Israel,4841772,12707,4798473
Italy,26723249,196487,26361218
Jamaica,156869,3756,0
Japan,33803572,74694,0
Jordan,1746997,14122,1731007
Kazakhstan,1411831,13848,1383020
Kenya,344130,5689,337309
Kiribati,5085,24,2703
Kuwait,667158,2570,0
Kyrgyzstan,206897,2991,196406
Lao People's Democratic Republic,218970,758,0
Latvia,982505,6715,971406
Lebanon,1243838,10952,1087587
Lesotho,36138,723,25980
Liberia,8090,295,7783
Libyan Arab Jamahiriya,507274,6437,500835
Liechtenstein,21574,94,0
Lithuania,1397806,9897,1387478
Luxembourg,391232,1232,0
MS Zaandam,9,2,7
Macao,27673,123,3487
Macedonia,350567,9976,337068
Madagascar,68486,1426,66862
Malawi,89535,2686,0
Malaysia,5278406,37348,5233268
Maldives,186694,316,163687
Mali,33164,743,32332
Malta,121420,885,120149
Marshall Islands,16138,17,16121
Martinique,230354,1102,0
Mauritania,63848,997,62471
Mauritius,43025,1051,41278
Mayotte,42027,188,0
Mexico,7702809,334958,6899865
Micronesia,26547,65,0
Moldova,635145,12218,0
Monaco,17181,67,0
Mongolia,1011496,2284,1009212
Montenegro,296542,2846,291794
Montserrat,1403,8,1376
Morocco,1278992,16303,0
Mozambique,233731,2250,228805
Myanmar,641873,19495,620159
N. Korea,4772813,74,4772739
Namibia,172389,4106,167099
Nauru,5393,1,5347
Nepal,1003450,12031,991322
Netherlands,8635786,22992,8612599
New Caledonia,80064,314,0
New Zealand,2621111,5697,2613791
Nicaragua,18491,225,4225
Niger,9931,312,8890
Nigeria,267188,3155,259953
Niue,1059,0,1056
Norway,1509732,6638,1503094
Oman,399449,4628,0
Pakistan,1581936,30664,1538689
Palau,6290,10,6276
Palestine,621008,5404,615445
Panama,1059893,8727,1051102
Papua New Guinea,46864,670,46168
Paraguay,837602,20155,0
Peru,4572667,222161,4350506
Philippines,4140383,66864,4067381
Poland,6661991,120598,0
Portugal,5643062,28126,5614809
Qatar,514524,690,513687
Romania,3529735,68929,3460149
Russia,24124215,402756,23545818
Rwanda,133518,1468,132039
Réunion,494595,921,0
S. Korea,34571873,35934,34535939
Saint Helena,2166,0,2
Saint Kitts and Nevis,6607,48,6559
Saint Lucia,30215,410,29805
Saint Martin,12324,63,0
Saint Pierre Miquelon,3452,2,2449
Saint Vincent and the Grenadines,9674,124,9493
Samoa,17006,31,1605
San Marino,26185,128,26011
Sao Tome and Principe,6778,80,6685
Saudi Arabia,841469,9646,0
Senegal,89053,1971,87024
Serbia,2615054,18057,2596608
Seychelles,51220,172,51048
Sierra Leone,7779,126,0
Singapore,3006155,2024,3004131
Sint Maarten,11051,92,10905
